2026-02-03T14:21:52.247831 | 185.186.250.125 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-03T14:21:52.302107 | 185.186.250.125 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-03T14:22:57.205247 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-03T14:22:57.794457 | 185.186.250.125 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-03T14:22:57.854541 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-03T14:23:41.031246 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed /view-logs | SUCCESS
2026-02-03T14:23:53.182257 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-03T14:24:34.541954 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed /view-logs | SUCCESS
2026-02-03T14:25:59.427718 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-03T14:26:00.602683 | 185.186.250.125 | admin | LOGOUT |  | SUCCESS
2026-02-03T14:26:00.654218 | 185.186.250.125 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-03T14:26:06.834775 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-03T14:26:07.378756 | 185.186.250.125 | admin | LOGIN_FAILED |  | FAILED
2026-02-03T14:26:17.657388 | 185.186.250.125 | brko | LOGIN_ATTEMPT |  | SUCCESS
2026-02-03T14:26:18.210502 | 185.186.250.125 | brko | LOGIN_FAILED |  | FAILED
2026-02-03T14:29:29.299324 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-03T14:29:29.876837 | 185.186.250.125 | admin | LOGIN_FAILED |  | FAILED
2026-02-03T14:29:40.280427 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-03T14:29:40.824714 | 185.186.250.125 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-03T14:29:40.879497 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-03T14:29:45.609677 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-03T14:29:49.013208 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-03T14:29:50.249525 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed /view-logs | SUCCESS
